Gastos_Mensais,Interesses,Tipo_Cartao_Credito,Profissao,Plano,Salario,Gasto_Mensal_Cartao,Viaja_Frequentemente,Renda_Mensal,Dependentes,Idade
1200,"Tecnologia, Fitness",Gold,Educador,Plano Equilíbrio,2900,600,0,2900,1,29
1300,"Games, Tecnologia",Gold,Analista,Plano Conexão,3200,800,1,3200,0,31
1400,"Tecnologia, Música",Gold,Engenheiro,Plano Equilíbrio,3800,1200,0,3800,0,35
1200,"Culinária, Saúde",Gold,Nutricionista,Plano Serenidade,2800,700,0,2800,0,32
1400,"Culinária, Saúde",Gold,Chef,Plano Serenidade,3600,600,1,3600,0,35
1400,"Games, Tecnologia",Gold,Analista,Plano Conexão,3000,700,0,3000,0,33
1400,"Tecnologia, Música",Gold,Engenheiro,Plano Equilíbrio,3800,1200,0,3800,0,39
1400,"Cinema, Tecnologia",Gold,Estudante,Plano Conexão,3800,600,0,3800,0,28
1200,"Culinária, Saúde",Gold,Chef,Plano Serenidade,2800,600,0,2800,0,34
1200,"Tecnologia, Música",Gold,Educador,Plano Equilíbrio,2900,600,0,2900,0,31
2000,"Games, Tecnologia",Gold,Professor,Plano Conexão,4200,1100,1,4200,0,39
1200,"Culinária, Saúde",Gold,Chefe,Plano Serenidade,2900,600,0,2900,0,33
1200,"Culinária, Saúde",Gold,Chef,Plano Serenidade,2800,600,0,2800,0,37
2000,"Games, Tecnologia",Gold,Programadora,Plano Conexão,4800,1200,1,4800,0,28
1300,"Games, Tecnologia",Gold,Engenheiro,Plano Conexão,3200,800,0,3200,0,28
1400,"Cinema, Tecnologia",Gold,Estudante,Plano Conexão,3800,600,0,3800,0,30
1200,"Culinária, Saúde",Gold,Chef,Plano Serenidade,2900,600,0,2900,0,32
2000,"Games, Tecnologia",Gold,Professor,Plano Conexão,4200,1100,1,4200,0,35
1400,"Tecnologia, Música",Gold,Engenheira,Plano Equilíbrio,3800,1200,0,3800,0,39
1200,"Culinária, Saúde",Gold,Nutricionista,Plano Serenidade,2900,600,0,2900,0,27
1800,"Cinema, Tecnologia",Gold,Estudante,Plano Conexão,3200,800,0,3200,0,32
1300,"Games, Tecnologia",Gold,Engenheiro,Plano Conexão,3200,600,0,3200,0,34
1400,"Games, Tecnologia",Gold,Analista,Plano Conexão,3000,700,0,3000,0,32
1200,"Culinária, Saúde",Gold,Nutricionista,Plano Serenidade,2900,600,0,2900,0,29
1200,"Culinária, Saúde",Gold,Chef,Plano Serenidade,2900,600,0,2900,0,39
1300,"Games, Tecnologia",Gold,Engenheira,Plano Conexão,3200,800,0,3200,0,31
1400,"Cinema, Tecnologia",Gold,Estudante,Plano Conexão,3800,600,0,3800,0,33
1400,"Tecnologia, Música",Gold,Engenheira,Plano Equilíbrio,3800,1200,0,3800,0,28
1400,"Games, Tecnologia",Gold,Analista,Plano Conexão,3000,700,0,3000,0,33
1200,"Culinária, Saúde",Gold,Nutricionista,Plano Serenidade,2900,600,0,2900,0,39
1400,"Fotografia, Arte",Gold,Fotógrafo,Plano Equilíbrio,3000,800,1,3000,0,29
1200,"Tecnologia, Fitness",Gold,Educador,Plano Equilíbrio,2900,600,0,2900,0,31
1300,"Games, Tecnologia",Gold,Engenheiro,Plano Conexão,3200,800,0,3200,0,35
2000,"Games, Tecnologia",Gold,Programador,Plano Conexão,4800,1200,1,4800,0,33
1800,"Cinema, Tecnologia",Gold,Estudante,Plano Conexão,3200,800,0,3200,0,29
1200,"Tecnologia, Música",Gold,Educador,Plano Equilíbrio,2900,600,0,2900,0,37
2000,"Games, Tecnologia",Gold,Professora,Plano Conexão,4200,1100,1,4200,0,35
1400,"Fotografia, Arte",Gold,Fotógrafo,Plano Equilíbrio,3000,800,1,3000,0,34
1300,"Games, Tecnologia",Gold,Engenheira,Plano Conexão,3200,800,0,3200,0,32
1200,"Culinária, Saúde",Gold,Chef,Plano Serenidade,2900,600,0,2900,0,38
1400,"Cinema, Tecnologia",Gold,Estudante,Plano Conexão,3200,800,0,3200,0,29
